server_time,esp_millis,ecg,resp
1759864386.9362733,1405427.0,-2.0,-2.0
1759864386.957685,1405447.0,-1.0,-2.0
1759864386.9757981,1405467.0,-1.0,-2.0
1759864386.9999907,1405487.0,-1.0,-2.0
1759864387.0160239,1405507.0,-2.0,-2.0
1759864387.0362706,1405527.0,-2.0,-2.0
1759864387.0577438,1405547.0,-1.0,-2.0
1759864387.076829,1405567.0,0.0,-2.0
1759864387.0956626,1405587.0,0.0,-2.0
1759864387.1283689,1405607.0,-1.0,-2.0
1759864387.1369743,1405627.0,-2.0,-2.0
1759864387.1554883,1405647.0,-2.0,-2.0
1759864387.176202,1405667.0,-1.0,-2.0
1759864387.1986544,1405687.0,-1.0,-2.0
1759864387.2178552,1405707.0,-1.0,-2.0
1759864387.2360106,1405727.0,-1.0,-2.0
1759864387.2566726,1405747.0,-2.0,-122.0
1759864387.2837577,1405767.0,-2.0,-126.0
1759864387.296243,1405787.0,-1.0,-105.0
1759864387.3160803,1405807.0,-1.0,-105.0
1759864387.3365111,1405827.0,0.0,-105.0
1759864387.3559504,1405847.0,0.0,-103.0
1759864387.399452,1405887.0,-1.0,-100.0
1759864387.4458475,1405927.0,-1.0,-96.0
1759864387.4633193,1405947.0,-1.0,-92.0
1759864387.4796443,1405967.0,-1.0,-85.0
1759864387.4999144,1405987.0,0.0,-77.0
1759864387.518683,1406007.0,-1.0,-70.0
1759864387.5365627,1406027.0,-2.0,-60.0
1759864387.5583565,1406047.0,-2.0,-50.0
1759864387.58021,1406067.0,0.0,-39.0
1759864387.5981941,1406087.0,-1.0,-27.0
1759864387.6178377,1406107.0,-1.0,-16.0
1759864387.6391242,1406127.0,-1.0,-2.0
1759864387.6638563,1406147.0,-1.0,11.0
1759864387.6768258,1406167.0,-2.0,25.0
1759864387.6962512,1406187.0,-1.0,39.0
1759864387.7163637,1406207.0,-1.0,53.0
1759864387.7354093,1406227.0,-1.0,67.0
1759864387.7562127,1406247.0,-1.0,80.0
1759864387.7767675,1406267.0,-1.0,94.0
1759864387.796178,1406287.0,-1.0,107.0
1759864387.8157911,1406307.0,-1.0,120.0
1759864387.8379157,1406327.0,-1.0,131.0
1759864387.864484,1406347.0,-1.0,142.0
1759864387.8785694,1406367.0,0.0,152.0
1759864387.897861,1406387.0,-1.0,161.0
1759864387.9159014,1406407.0,-1.0,167.0
1759864387.935942,1406427.0,-1.0,173.0
1759864387.956226,1406447.0,-1.0,177.0
1759864387.97595,1406467.0,-2.0,180.0
1759864387.996111,1406487.0,-2.0,181.0
1759864388.0156822,1406507.0,-2.0,180.0
1759864388.0387506,1406527.0,-2.0,177.0
